   NID    (HEX)    NODENAME     TYPE    STATUS        MODE
     0      0x0  c0-0c0s0n0  compute        up       batch
     1      0x1  c0-0c0s0n1  compute        up       batch
     2      0x2  c0-0c0s0n2  compute        up       batch
     3      0x3  c0-0c0s0n3  compute        up       batch
     4      0x4  c0-0c0s1n0  compute        up       batch
     5      0x5  c0-0c0s1n1  compute        up       batch
     6      0x6  c0-0c0s1n2  compute        up       batch
     7      0x7  c0-0c0s1n3  compute        up       batch
     8      0x8  c0-0c0s2n0  compute        up       batch
     9      0x9  c0-0c0s2n1  compute        up       batch
    10      0xa  c0-0c0s2n2  compute        up       batch
    11      0xb  c0-0c0s2n3  compute        up       batch
    13      0xd  c0-0c0s3n1  service        up       batch
    14      0xe  c0-0c0s3n2  service        up       batch
    17     0x11  c0-0c0s4n1  service        up       batch
    18     0x12  c0-0c0s4n2  service        up       batch
    20     0x14  c0-0c0s5n0  compute        up       batch
    21     0x15  c0-0c0s5n1  compute        up       batch
    22     0x16  c0-0c0s5n2  compute        up       batch
    23     0x17  c0-0c0s5n3  compute        up       batch
    24     0x18  c0-0c0s6n0  compute        up       batch
    25     0x19  c0-0c0s6n1  compute        up       batch
    26     0x1a  c0-0c0s6n2  compute        up       batch
    27     0x1b  c0-0c0s6n3  compute        up       batch
    28     0x1c  c0-0c0s7n0  compute        up       batch
    29     0x1d  c0-0c0s7n1  compute        up       batch
    30     0x1e  c0-0c0s7n2  compute        up       batch
    31     0x1f  c0-0c0s7n3  compute        up       batch
    32     0x20  c0-0c0s8n0  compute        up       batch
    33     0x21  c0-0c0s8n1  compute        up       batch
    34     0x22  c0-0c0s8n2  compute        up       batch
    35     0x23  c0-0c0s8n3  compute        up       batch
    36     0x24  c0-0c0s9n0  compute        up       batch
    37     0x25  c0-0c0s9n1  compute        up       batch
    38     0x26  c0-0c0s9n2  compute        up       batch
    39     0x27  c0-0c0s9n3  compute        up       batch
    40     0x28 c0-0c0s10n0  compute        up       batch
    41     0x29 c0-0c0s10n1  compute        up       batch
    42     0x2a c0-0c0s10n2  compute        up       batch
    43     0x2b c0-0c0s10n3  compute        up       batch
    44     0x2c c0-0c0s11n0  compute        up       batch
    45     0x2d c0-0c0s11n1  compute        up       batch
    46     0x2e c0-0c0s11n2  compute        up       batch
    47     0x2f c0-0c0s11n3  compute        up       batch
    48     0x30 c0-0c0s12n0  service        up       batch
    49     0x31 c0-0c0s12n1  service        up       batch
    50     0x32 c0-0c0s12n2  service        up       batch
    51     0x33 c0-0c0s12n3  service        up       batch
    52     0x34 c0-0c0s13n0  compute        up       batch
    53     0x35 c0-0c0s13n1  compute        up       batch
    54     0x36 c0-0c0s13n2  compute        up       batch
    55     0x37 c0-0c0s13n3  compute        up       batch
    56     0x38 c0-0c0s14n0  compute        up       batch
    57     0x39 c0-0c0s14n1  compute        up       batch
    58     0x3a c0-0c0s14n2  compute        up       batch
    59     0x3b c0-0c0s14n3  compute        up       batch
    60     0x3c c0-0c0s15n0  compute        up       batch
    61     0x3d c0-0c0s15n1  compute        up       batch
    62     0x3e c0-0c0s15n2  compute        up       batch
    63     0x3f c0-0c0s15n3  compute        up       batch
    64     0x40  c0-0c1s0n0  compute        up       batch
    65     0x41  c0-0c1s0n1  compute        up       batch
    66     0x42  c0-0c1s0n2  compute        up       batch
    67     0x43  c0-0c1s0n3  compute        up       batch
    68     0x44  c0-0c1s1n0  compute        up       batch
    69     0x45  c0-0c1s1n1  compute        up       batch
    70     0x46  c0-0c1s1n2  compute        up       batch
    71     0x47  c0-0c1s1n3  compute        up       batch
    72     0x48  c0-0c1s2n0  compute        up       batch
    73     0x49  c0-0c1s2n1  compute        up       batch
    74     0x4a  c0-0c1s2n2  compute        up       batch
    75     0x4b  c0-0c1s2n3  compute        up       batch
    77     0x4d  c0-0c1s3n1  service        up       batch
    78     0x4e  c0-0c1s3n2  service        up       batch
